DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201412072;06/09/2020 12:00:00 AM;06/09/2020 12:00:00 AM;1130;14;Pacific    ;1413;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 0394                              ;27;M;W;507;CONDOMINIUM/TOWNHOUSE                       ;;;IC;Invest Cont ;440
201419719;10/31/2020 12:00:00 AM;10/30/2020 12:00:00 AM;1210;14;Pacific    ;1477;1;330;BURGLARY FROM VEHICLE                                   ;1300 0344 1609                         ;62;M;W;104;DRIVEWAY                                    ;;;IC;Invest Cont ;330
201414928;07/22/2020 12:00:00 AM;05/03/2020 12:00:00 AM;1200;14;Pacific    ;1431;1;330;BURGLARY FROM VEHICLE                                   ;1609 1307 1300 0344                    ;26;F;W;103;ALLEY                                       ;;;IC;Invest Cont ;330
201416805;09/07/2020 12:00:00 AM;09/07/2020 12:00:00 AM;845;14;Pacific    ;1444;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344 1218 2032                         ;45;M;W;117;BEACH                                       ;;;IC;Invest Cont ;440
201418895;10/17/2020 12:00:00 AM;10/17/2020 12:00:00 AM;2145;14;Pacific    ;1441;2;888;TRESPASSING                                             ;1606 2004 1501                         ;62;M;W;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;888
201412461;06/18/2020 12:00:00 AM;06/17/2020 12:00:00 AM;1030;14;Pacific    ;1454;2;860;BATTERY WITH SEXUAL CONTACT                             ;1822 0448 0500 1300                    ;29;F;W;102;SIDEWALK                                    ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;860
201411165;05/20/2020 12:00:00 AM;05/20/2020 12:00:00 AM;400;14;Pacific    ;1488;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) ;0329 1300 1307                         ;0;X;X;108;PARKING LOT                                 ;;;IC;Invest Cont ;740
201416520;09/02/2020 12:00:00 AM;08/29/2020 12:00:00 AM;200;14;Pacific    ;1489;1;510;VEHICLE - STOLEN                                        ;;0;;;108;PARKING LOT                                 ;;;AA;Adult Arrest;510
201418615;10/12/2020 12:00:00 AM;10/12/2020 12:00:00 AM;920;14;Pacific    ;1469;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
201418893;10/17/2020 12:00:00 AM;10/17/2020 12:00:00 AM;2218;14;Pacific    ;1407;2;626;INTIMATE PARTNER - SIMPLE ASSAULT                       ;0913 2000 1814 0444                    ;26;F;H;101;STREET                                      ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;626
201420221;11/13/2020 12:00:00 AM;11/13/2020 12:00:00 AM;1255;14;Pacific    ;1412;1;761;BRANDISH WEAPON                                         ;0334 2004 1822 1218                    ;42;M;B;117;BEACH                                       ;513;STUN GUN                                      ;IC;Invest Cont ;761
201419112;10/22/2020 12:00:00 AM;10/09/2020 12:00:00 AM;1735;14;Pacific    ;1487;2;946;OTHER MISCELLANEOUS CRIME                               ;1501                                   ;0;X;X;710;OTHER PREMISE                               ;;;IC;Invest Cont ;946
