DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
201908236;03/31/2020 12:00:00 AM;03/30/2020 12:00:00 AM;1440;19;Mission    ;1998;1;442;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                ;0325                                   ;0;M;O;243;DIY CENTER (LOWE'S,HOME DEPOT,OSH,CONTRACTOR;;;IC;Invest Cont ;442
211912090;08/17/2021 12:00:00 AM;08/01/2020 12:00:00 AM;1200;19;Mission    ;1955;2;762;LEWD CONDUCT                                            ;0528 0913 1817                         ;28;F;H;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;762
201911110;06/18/2020 12:00:00 AM;06/18/2020 12:00:00 AM;1000;19;Mission    ;1961;2;886;DISTURBING THE PEACE                                    ;1402                                   ;27;M;B;505;MOTEL                                       ;;;IC;Invest Cont ;886
201910673;06/08/2020 12:00:00 AM;06/07/2020 12:00:00 AM;1930;19;Mission    ;1969;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
201907298;03/06/2020 12:00:00 AM;03/06/2020 12:00:00 AM;1750;19;Mission    ;1913;1;220;ATTEMPTED ROBBERY                                       ;1822 0355                              ;16;M;H;101;STREET                                      ;511;VERBAL THREAT                                 ;IC;Invest Cont ;220
201917092;11/19/2020 12:00:00 AM;11/18/2020 12:00:00 AM;1830;19;Mission    ;1925;2;745;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                ;0329                                   ;37;M;H;704;ELEMENTARY SCHOOL                           ;;;IC;Invest Cont ;745
201905391;02/01/2020 12:00:00 AM;01/31/2020 12:00:00 AM;1900;19;Mission    ;1925;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0385 1402                              ;61;M;A;101;STREET                                      ;;;IC;Invest Cont ;420
201914083;09/02/2020 12:00:00 AM;09/01/2020 12:00:00 AM;2000;19;Mission    ;1902;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;420
201913397;08/16/2020 12:00:00 AM;08/16/2020 12:00:00 AM;1445;19;Mission    ;1994;2;860;BATTERY WITH SEXUAL CONTACT                             ;0448 0503 1822 0910 2049 2051          ;44;F;H;801;MTA BUS                                     ;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont ;860
201911282;06/23/2020 12:00:00 AM;06/23/2020 12:00:00 AM;250;19;Mission    ;1981;1;330;BURGLARY FROM VEHICLE                                   ;1307 0344                              ;44;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;330
201911999;07/08/2020 12:00:00 AM;06/25/2020 12:00:00 AM;800;19;Mission    ;1917;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0394                                   ;32;F;H;119;PORCH, RESIDENTIAL                          ;;;IC;Invest Cont ;440
201914665;09/16/2020 12:00:00 AM;09/02/2020 12:00:00 AM;1000;19;Mission    ;1915;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0394                                   ;32;F;H;121;YARD (RESIDENTIAL/BUSINESS)                 ;;;IC;Invest Cont ;440
201917296;11/23/2020 12:00:00 AM;11/23/2020 12:00:00 AM;1052;19;Mission    ;1993;2;354;THEFT OF IDENTITY                                       ;0922                                   ;32;F;H;501;SINGLE FAMILY DWELLING                      ;;;IC;Invest Cont ;354
201913792;08/25/2020 12:00:00 AM;08/25/2020 12:00:00 AM;845;19;Mission    ;1958;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;33;F;W;235;PHARMACY INSIDE STORE OR SUPERMARKET*       ;;;AO;Adult Other ;956
