DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
212112265;08/06/2021 12:00:00 AM;08/05/2021 12:00:00 AM;1215;21;Topanga    
212110830;07/01/2021 12:00:00 AM;06/30/2021 12:00:00 AM;1500;21;Topanga    
212115163;10/13/2021 12:00:00 AM;09/30/2021 12:00:00 AM;1300;21;Topanga    
212106352;03/09/2021 12:00:00 AM;03/08/2021 12:00:00 AM;1400;21;Topanga    
212106232;03/05/2021 12:00:00 AM;03/04/2021 12:00:00 AM;1920;21;Topanga    
212118121;12/29/2021 12:00:00 AM;12/29/2021 12:00:00 AM;1345;21;Topanga    
212117534;12/14/2021 12:00:00 AM;12/14/2021 12:00:00 AM;630;21;Topanga    
212111931;07/28/2021 12:00:00 AM;07/28/2021 12:00:00 AM;2130;21;Topanga    
212115166;10/14/2021 12:00:00 AM;10/12/2021 12:00:00 AM;1830;21;Topanga    
212116107;11/05/2021 12:00:00 AM;11/05/2021 12:00:00 AM;1600;21;Topanga    
212117541;12/14/2021 12:00:00 AM;12/14/2021 12:00:00 AM;330;21;Topanga    
212116832;11/23/2021 12:00:00 AM;11/23/2021 12:00:00 AM;1630;21;Topanga    
212108999;05/17/2021 12:00:00 AM;05/17/2021 12:00:00 AM;1640;21;Topanga    
222104107;01/05/2022 12:00:00 AM;09/01/2021 12:00:00 AM;1500;21;Topanga    
212114893;10/06/2021 12:00:00 AM;10/02/2021 12:00:00 AM;20;21;Topanga    
212114330;09/24/2021 12:00:00 AM;09/23/2021 12:00:00 AM;1800;21;Topanga    
212115340;10/18/2021 12:00:00 AM;10/17/2021 12:00:00 AM;1900;21;Topanga    
212113425;09/03/2021 12:00:00 AM;09/02/2021 12:00:00 AM;1600;21;Topanga    
212104276;01/08/2021 12:00:00 AM;01/08/2021 12:00:00 AM;1200;21;Topanga    
212112186;08/04/2021 12:00:00 AM;08/02/2021 12:00:00 AM;1000;21;Topanga    
212108092;04/24/2021 12:00:00 AM;04/23/2021 12:00:00 AM;1700;21;Topanga    
212100766;09/04/2021 12:00:00 AM;08/31/2021 12:00:00 AM;1507;21;Topanga    
212105914;02/24/2021 12:00:00 AM;02/23/2021 12:00:00 AM;1200;21;Topanga    
212100656;05/14/2021 12:00:00 AM;05/14/2021 12:00:00 AM;759;21;Topanga    
212108436;05/03/2021 12:00:00 AM;05/03/2021 12:00:00 AM;1700;21;Topanga    
212117926;12/24/2021 12:00:00 AM;12/22/2021 12:00:00 AM;2230;21;Topanga    
212115374;10/19/2021 12:00:00 AM;01/15/2021 12:00:00 AM;1035;21;Topanga    
212115243;10/16/2021 12:00:00 AM;10/16/2021 12:00:00 AM;100;21;Topanga    
212112124;08/02/2021 12:00:00 AM;08/02/2021 12:00:00 AM;1030;21;Topanga    
212109001;05/17/2021 12:00:00 AM;05/01/2021 12:00:00 AM;1300;21;Topanga    
212115520;10/22/2021 12:00:00 AM;10/21/2021 12:00:00 AM;1320;21;Topanga    
212111515;07/16/2021 12:00:00 AM;07/14/2021 12:00:00 AM;1200;21;Topanga    
212104333;01/11/2021 12:00:00 AM;01/11/2021 12:00:00 AM;1640;21;Topanga    
212108678;05/09/2021 12:00:00 AM;05/09/2021 12:00:00 AM;2115;21;Topanga    
212104216;01/07/2021 12:00:00 AM;01/06/2021 12:00:00 AM;1300;21;Topanga    
212108660;05/09/2021 12:00:00 AM;05/08/2021 12:00:00 AM;1130;21;Topanga    
212114552;09/28/2021 12:00:00 AM;09/27/2021 12:00:00 AM;2100;21;Topanga    
222105199;02/03/2022 12:00:00 AM;12/30/2021 12:00:00 AM;1400;21;Topanga    
212116617;11/18/2021 12:00:00 AM;11/18/2021 12:00:00 AM;2210;21;Topanga    
212105586;02/16/2021 12:00:00 AM;02/14/2021 12:00:00 AM;1800;21;Topanga    
212117255;12/05/2021 12:00:00 AM;12/04/2021 12:00:00 AM;1400;21;Topanga    
212118001;12/27/2021 12:00:00 AM;12/26/2021 12:00:00 AM;2030;21;Topanga    
212115093;10/12/2021 12:00:00 AM;10/08/2021 12:00:00 AM;430;21;Topanga    
212114508;09/27/2021 12:00:00 AM;09/26/2021 12:00:00 AM;1945;21;Topanga    
