DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME
210618875;11/10/2021 12:00:00 AM;11/06/2021 12:00:00 AM;2245;6;Hollywood  
210612957;07/19/2021 12:00:00 AM;07/17/2021 12:00:00 AM;2235;6;Hollywood  
210617289;10/12/2021 12:00:00 AM;10/12/2021 12:00:00 AM;1200;6;Hollywood  
210616018;09/17/2021 12:00:00 AM;09/17/2021 12:00:00 AM;1330;6;Hollywood  
210605639;02/09/2021 12:00:00 AM;02/07/2021 12:00:00 AM;1500;6;Hollywood  
210620723;12/23/2021 12:00:00 AM;12/23/2021 12:00:00 AM;815;6;Hollywood  
210615647;09/10/2021 12:00:00 AM;09/10/2021 12:00:00 AM;45;6;Hollywood  
210611194;06/14/2021 12:00:00 AM;06/13/2021 12:00:00 AM;1501;6;Hollywood  
210607721;03/30/2021 12:00:00 AM;03/30/2021 12:00:00 AM;1250;6;Hollywood  
210605656;02/09/2021 12:00:00 AM;02/09/2021 12:00:00 AM;1105;6;Hollywood  
210614061;08/09/2021 12:00:00 AM;08/09/2021 12:00:00 AM;1300;6;Hollywood  
210616121;09/19/2021 12:00:00 AM;09/19/2021 12:00:00 AM;15;6;Hollywood  
210612124;07/03/2021 12:00:00 AM;07/03/2021 12:00:00 AM;1318;6;Hollywood  
210611841;06/27/2021 12:00:00 AM;06/26/2021 12:00:00 AM;2300;6;Hollywood  
210609725;05/13/2021 12:00:00 AM;05/12/2021 12:00:00 AM;2300;6;Hollywood  
210618985;11/12/2021 12:00:00 AM;04/01/2021 12:00:00 AM;925;6;Hollywood  
210616093;09/18/2021 12:00:00 AM;09/16/2021 12:00:00 AM;2000;6;Hollywood  
210619122;11/15/2021 12:00:00 AM;11/15/2021 12:00:00 AM;1630;6;Hollywood  
210619878;12/02/2021 12:00:00 AM;11/30/2021 12:00:00 AM;2330;6;Hollywood  
210613033;07/19/2021 12:00:00 AM;07/18/2021 12:00:00 AM;1530;6;Hollywood  
210617401;10/14/2021 12:00:00 AM;10/14/2021 12:00:00 AM;1745;6;Hollywood  
210609811;05/15/2021 12:00:00 AM;05/15/2021 12:00:00 AM;2100;6;Hollywood  
210614531;08/18/2021 12:00:00 AM;08/13/2021 12:00:00 AM;1500;6;Hollywood  
210604807;01/22/2021 12:00:00 AM;01/22/2021 12:00:00 AM;1020;6;Hollywood  
210613012;07/20/2021 12:00:00 AM;07/20/2021 12:00:00 AM;1730;6;Hollywood  
210606633;03/01/2021 12:00:00 AM;02/16/2021 12:00:00 AM;2034;6;Hollywood  
210615111;08/28/2021 12:00:00 AM;04/08/2021 12:00:00 AM;1;6;Hollywood  
210613640;08/01/2021 12:00:00 AM;08/01/2021 12:00:00 AM;1530;6;Hollywood  
210608179;04/10/2021 12:00:00 AM;04/10/2021 12:00:00 AM;1048;6;Hollywood  
210616528;09/22/2021 12:00:00 AM;05/27/2021 12:00:00 AM;1200;6;Hollywood  
210613585;07/30/2021 12:00:00 AM;07/29/2021 12:00:00 AM;1430;6;Hollywood  
210610508;05/31/2021 12:00:00 AM;05/03/2021 12:00:00 AM;400;6;Hollywood  
220604273;01/07/2022 12:00:00 AM;12/22/2021 12:00:00 AM;1200;6;Hollywood  
210611820;06/26/2021 12:00:00 AM;06/26/2021 12:00:00 AM;1845;6;Hollywood  
210620048;12/06/2021 12:00:00 AM;12/02/2021 12:00:00 AM;1520;6;Hollywood  
210616138;09/19/2021 12:00:00 AM;09/18/2021 12:00:00 AM;2117;6;Hollywood  
210615869;09/11/2021 12:00:00 AM;09/11/2021 12:00:00 AM;1400;6;Hollywood  
210604434;01/13/2021 12:00:00 AM;01/12/2021 12:00:00 AM;2130;6;Hollywood  
210614982;08/26/2021 12:00:00 AM;08/20/2021 12:00:00 AM;1300;6;Hollywood  
