DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
211607299;04/27/2021 12:00:00 AM;03/15/2021 12:00:00 AM;1700;16;Foothill   ;1685
211611300;09/08/2021 12:00:00 AM;09/08/2021 12:00:00 AM;240;16;Foothill   ;1613
211609681;07/16/2021 12:00:00 AM;07/12/2021 12:00:00 AM;1217;16;Foothill   ;1621
211607322;04/28/2021 12:00:00 AM;04/28/2021 12:00:00 AM;1600;16;Foothill   ;1687
211609326;07/04/2021 12:00:00 AM;07/04/2021 12:00:00 AM;1710;16;Foothill   ;1675
211612547;10/14/2021 12:00:00 AM;10/05/2021 12:00:00 AM;1;16;Foothill   ;1621
211607514;05/04/2021 12:00:00 AM;03/25/2021 12:00:00 AM;1200;16;Foothill   ;1681
211606604;04/01/2021 12:00:00 AM;03/31/2021 12:00:00 AM;2100;16;Foothill   ;1612
211614193;12/08/2021 12:00:00 AM;12/07/2021 12:00:00 AM;1800;16;Foothill   ;1657
211600769;08/21/2021 12:00:00 AM;08/20/2021 12:00:00 AM;100;16;Foothill   ;1681
211604087;01/04/2021 12:00:00 AM;01/04/2021 12:00:00 AM;200;16;Foothill   ;1651
211614116;12/06/2021 12:00:00 AM;11/04/2021 12:00:00 AM;351;16;Foothill   ;1675
211613356;11/11/2021 12:00:00 AM;11/11/2021 12:00:00 AM;500;16;Foothill   ;1642
211610722;08/21/2021 12:00:00 AM;08/20/2021 12:00:00 AM;1900;16;Foothill   ;1638
211613945;11/26/2021 12:00:00 AM;11/14/2021 12:00:00 AM;1255;16;Foothill   ;1684
221604552;01/19/2022 12:00:00 AM;12/28/2021 12:00:00 AM;2330;16;Foothill   ;1676
221606378;03/16/2022 12:00:00 AM;11/10/2021 12:00:00 AM;800;16;Foothill   ;1618
211604778;01/28/2021 12:00:00 AM;01/15/2021 12:00:00 AM;1200;16;Foothill   ;1603
