DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No
210404593;01/16/2021 12:00:00 AM;01/16/2021 12:00:00 AM;1000;4;Hollenbeck ;455
210412889;09/15/2021 12:00:00 AM;09/08/2021 12:00:00 AM;1200;4;Hollenbeck ;478
210410610;07/12/2021 12:00:00 AM;07/12/2021 12:00:00 AM;100;4;Hollenbeck ;466
210414360;10/28/2021 12:00:00 AM;10/28/2021 12:00:00 AM;530;4;Hollenbeck ;473
210406236;03/02/2021 12:00:00 AM;03/02/2021 12:00:00 AM;850;4;Hollenbeck ;443
210406161;02/28/2021 12:00:00 AM;02/28/2021 12:00:00 AM;1750;4;Hollenbeck ;451
210415279;11/24/2021 12:00:00 AM;11/24/2021 12:00:00 AM;1630;4;Hollenbeck ;478
210412458;09/03/2021 12:00:00 AM;09/02/2021 12:00:00 AM;2230;4;Hollenbeck ;427
210406588;03/12/2021 12:00:00 AM;03/12/2021 12:00:00 AM;1215;4;Hollenbeck ;489
210405627;02/14/2021 12:00:00 AM;02/14/2021 12:00:00 AM;1045;4;Hollenbeck ;418
210407203;03/31/2021 12:00:00 AM;03/26/2021 12:00:00 AM;600;4;Hollenbeck ;467
210409498;06/10/2021 12:00:00 AM;06/09/2021 12:00:00 AM;1840;4;Hollenbeck ;497
220404309;01/11/2022 12:00:00 AM;12/19/2021 12:00:00 AM;935;4;Hollenbeck ;449
210401222;12/03/2021 12:00:00 AM;12/03/2021 12:00:00 AM;1945;4;Hollenbeck ;457
210408070;04/28/2021 12:00:00 AM;04/24/2021 12:00:00 AM;900;4;Hollenbeck ;429
210412194;08/26/2021 12:00:00 AM;08/25/2021 12:00:00 AM;1830;4;Hollenbeck ;414
220405831;02/24/2022 12:00:00 AM;12/07/2021 12:00:00 AM;800;4;Hollenbeck ;421
210410056;06/25/2021 12:00:00 AM;05/24/2021 12:00:00 AM;1600;4;Hollenbeck ;408
210411717;08/12/2021 12:00:00 AM;08/12/2021 12:00:00 AM;1800;4;Hollenbeck ;463
210404448;01/13/2021 12:00:00 AM;01/13/2021 12:00:00 AM;1227;4;Hollenbeck ;497
210409050;05/27/2021 12:00:00 AM;05/26/2021 12:00:00 AM;1800;4;Hollenbeck ;497
210410394;07/05/2021 12:00:00 AM;07/05/2021 12:00:00 AM;1500;4;Hollenbeck ;497
210411482;08/05/2021 12:00:00 AM;08/05/2021 12:00:00 AM;1200;4;Hollenbeck ;497
210411628;08/10/2021 12:00:00 AM;08/10/2021 12:00:00 AM;845;4;Hollenbeck ;437
210407765;04/19/2021 12:00:00 AM;04/18/2021 12:00:00 AM;1700;4;Hollenbeck ;437
210415823;12/13/2021 12:00:00 AM;12/11/2021 12:00:00 AM;700;4;Hollenbeck ;424
210404319;01/09/2021 12:00:00 AM;01/09/2021 12:00:00 AM;1830;4;Hollenbeck ;459
210415026;11/17/2021 12:00:00 AM;11/04/2021 12:00:00 AM;2057;4;Hollenbeck ;465
210409292;06/03/2021 12:00:00 AM;06/03/2021 12:00:00 AM;610;4;Hollenbeck ;443
210409871;06/20/2021 12:00:00 AM;06/20/2021 12:00:00 AM;1738;4;Hollenbeck ;464
210416352;12/30/2021 12:00:00 AM;12/30/2021 12:00:00 AM;1130;4;Hollenbeck ;464
210405797;02/18/2021 12:00:00 AM;02/18/2021 12:00:00 AM;545;4;Hollenbeck ;442
210400794;05/17/2021 12:00:00 AM;05/17/2021 12:00:00 AM;1000;4;Hollenbeck ;465
210409352;06/06/2021 12:00:00 AM;06/06/2021 12:00:00 AM;20;4;Hollenbeck ;423
210414897;11/14/2021 12:00:00 AM;11/13/2021 12:00:00 AM;830;4;Hollenbeck ;499
210413834;10/13/2021 12:00:00 AM;10/12/2021 12:00:00 AM;1040;4;Hollenbeck ;464
210413634;10/06/2021 12:00:00 AM;10/05/2021 12:00:00 AM;1900;4;Hollenbeck ;455
210400664;03/21/2021 12:00:00 AM;03/21/2021 12:00:00 AM;1145;4;Hollenbeck ;439
210414644;11/07/2021 12:00:00 AM;11/06/2021 12:00:00 AM;2330;4;Hollenbeck ;406
210405436;02/09/2021 12:00:00 AM;02/06/2021 12:00:00 AM;1700;4;Hollenbeck ;437
210409260;06/02/2021 12:00:00 AM;06/01/2021 12:00:00 AM;2100;4;Hollenbeck ;421
210412320;08/30/2021 12:00:00 AM;08/29/2021 12:00:00 AM;1100;4;Hollenbeck ;473
210409504;06/10/2021 12:00:00 AM;06/09/2021 12:00:00 AM;420;4;Hollenbeck ;473
210411761;08/14/2021 12:00:00 AM;08/10/2021 12:00:00 AM;1400;4;Hollenbeck ;439
220404409;01/10/2022 12:00:00 AM;02/01/2021 12:00:00 AM;1200;4;Hollenbeck ;487
210406494;03/10/2021 12:00:00 AM;03/09/2021 12:00:00 AM;1430;4;Hollenbeck ;455
210405358;02/06/2021 12:00:00 AM;02/06/2021 12:00:00 AM;2035;4;Hollenbeck ;448
210400841;06/08/2021 12:00:00 AM;06/05/2021 12:00:00 AM;2040;4;Hollenbeck ;429
210414518;11/02/2021 12:00:00 AM;11/02/2021 12:00:00 AM;2000;4;Hollenbeck ;478
210415612;12/06/2021 12:00:00 AM;12/06/2021 12:00:00 AM;1020;4;Hollenbeck ;479
210407192;03/30/2021 12:00:00 AM;03/30/2021 12:00:00 AM;2100;4;Hollenbeck ;455
210415748;12/10/2021 12:00:00 AM;12/09/2021 12:00:00 AM;1630;4;Hollenbeck ;421
210404709;01/19/2021 12:00:00 AM;01/19/2021 12:00:00 AM;1500;4;Hollenbeck ;497
210408946;05/23/2021 12:00:00 AM;05/23/2021 12:00:00 AM;1900;4;Hollenbeck ;469
210414978;11/16/2021 12:00:00 AM;11/15/2021 12:00:00 AM;2254;4;Hollenbeck ;464
210409494;06/10/2021 12:00:00 AM;06/10/2021 12:00:00 AM;320;4;Hollenbeck ;411
210405515;02/12/2021 12:00:00 AM;02/11/2021 12:00:00 AM;2200;4;Hollenbeck ;426
210406749;03/17/2021 12:00:00 AM;03/16/2021 12:00:00 AM;2100;4;Hollenbeck ;417
210410652;07/12/2021 12:00:00 AM;07/12/2021 12:00:00 AM;1745;4;Hollenbeck ;438
210413020;09/20/2021 12:00:00 AM;09/16/2021 12:00:00 AM;1200;4;Hollenbeck ;489
210415086;11/18/2021 12:00:00 AM;11/18/2021 12:00:00 AM;1725;4;Hollenbeck ;457
210416372;12/31/2021 12:00:00 AM;12/30/2021 12:00:00 AM;2023;4;Hollenbeck ;468
210405666;02/14/2021 12:00:00 AM;02/14/2021 12:00:00 AM;1900;4;Hollenbeck ;416
210414082;10/20/2021 12:00:00 AM;10/20/2021 12:00:00 AM;500;4;Hollenbeck ;449
220404512;01/18/2022 12:00:00 AM;11/28/2021 12:00:00 AM;2330;4;Hollenbeck ;491
210416097;12/21/2021 12:00:00 AM;12/21/2021 12:00:00 AM;1140;4;Hollenbeck ;478
210413775;10/11/2021 12:00:00 AM;10/10/2021 12:00:00 AM;2200;4;Hollenbeck ;454
210411397;08/03/2021 12:00:00 AM;08/03/2021 12:00:00 AM;1730;4;Hollenbeck ;466
210412688;09/08/2021 12:00:00 AM;08/25/2021 12:00:00 AM;834;4;Hollenbeck ;462
210413898;10/14/2021 12:00:00 AM;10/10/2021 12:00:00 AM;1630;4;Hollenbeck ;422
210407357;04/05/2021 12:00:00 AM;04/01/2021 12:00:00 AM;1530;4;Hollenbeck ;491
210409946;06/22/2021 12:00:00 AM;06/22/2021 12:00:00 AM;200;4;Hollenbeck ;409
210404295;01/08/2021 12:00:00 AM;01/07/2021 12:00:00 AM;1930;4;Hollenbeck ;451
210412941;09/17/2021 12:00:00 AM;09/03/2021 12:00:00 AM;2100;4;Hollenbeck ;469
210404896;01/24/2021 12:00:00 AM;01/23/2021 12:00:00 AM;2230;4;Hollenbeck ;424
210404521;01/15/2021 12:00:00 AM;01/15/2021 12:00:00 AM;1332;4;Hollenbeck ;497
210407065;03/26/2021 12:00:00 AM;03/26/2021 12:00:00 AM;1540;4;Hollenbeck ;487
210408231;05/03/2021 12:00:00 AM;05/03/2021 12:00:00 AM;30;4;Hollenbeck ;422
210408429;05/08/2021 12:00:00 AM;05/08/2021 12:00:00 AM;500;4;Hollenbeck ;499
210401075;09/22/2021 12:00:00 AM;09/22/2021 12:00:00 AM;40;4;Hollenbeck ;412
210410511;07/08/2021 12:00:00 AM;07/08/2021 12:00:00 AM;1600;4;Hollenbeck ;463
210409759;06/17/2021 12:00:00 AM;06/17/2021 12:00:00 AM;1845;4;Hollenbeck ;424
210401173;11/01/2021 12:00:00 AM;11/01/2021 12:00:00 AM;100;4;Hollenbeck ;457
210400518;01/09/2021 12:00:00 AM;01/09/2021 12:00:00 AM;100;4;Hollenbeck ;499
210406463;03/09/2021 12:00:00 AM;03/08/2021 12:00:00 AM;1121;4;Hollenbeck ;478
210405433;02/09/2021 12:00:00 AM;02/08/2021 12:00:00 AM;1105;4;Hollenbeck ;426
210407879;04/22/2021 12:00:00 AM;04/21/2021 12:00:00 AM;2300;4;Hollenbeck ;497
210404575;01/16/2021 12:00:00 AM;01/15/2021 12:00:00 AM;2000;4;Hollenbeck ;415
210410131;06/28/2021 12:00:00 AM;03/04/2021 12:00:00 AM;1;4;Hollenbeck ;455
210413772;10/11/2021 12:00:00 AM;10/09/2021 12:00:00 AM;2100;4;Hollenbeck ;469
210414098;10/20/2021 12:00:00 AM;10/20/2021 12:00:00 AM;1030;4;Hollenbeck ;415
210409167;05/30/2021 12:00:00 AM;05/30/2021 12:00:00 AM;1230;4;Hollenbeck ;402
210413055;09/20/2021 12:00:00 AM;09/20/2021 12:00:00 AM;2105;4;Hollenbeck ;429
210407955;04/24/2021 12:00:00 AM;04/24/2021 12:00:00 AM;1;4;Hollenbeck ;409
210411214;07/29/2021 12:00:00 AM;07/29/2021 12:00:00 AM;2225;4;Hollenbeck ;491
240407293;04/30/2024 12:00:00 AM;06/13/2021 12:00:00 AM;1300;4;Hollenbeck ;439
210409708;06/16/2021 12:00:00 AM;05/14/2021 12:00:00 AM;1530;4;Hollenbeck ;415
