DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1
200914385;09/06/2020 12:00:00 AM;09/05/2020 12:00:00 AM;2230;9;Van Nuys   ;935;1;236;INTIMATE PARTNER - AGGRAVATED ASSAULT                   ;1218 1814 0446 1300 0445 0913 1414 0416;23;F;H;101;STREET                                      ;305;FIXED OBJECT                                  ;AO;Adult Other ;236
200915460;10/04/2020 12:00:00 AM;10/04/2020 12:00:00 AM;200;9;Van Nuys   ;939;1;510;VEHICLE - STOLEN                                        ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;510
200908657;04/20/2020 12:00:00 AM;04/19/2020 12:00:00 AM;1730;9;Van Nuys   ;969;2;956;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 ;1906                                   ;46;F;O;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);;;IC;Invest Cont ;956
200911493;06/24/2020 12:00:00 AM;06/22/2020 12:00:00 AM;1800;9;Van Nuys   ;952;1;330;BURGLARY FROM VEHICLE                                   ;1300 0344 1609                         ;50;M;O;123;PARKING UNDERGROUND/BUILDING                ;;;IC;Invest Cont ;330
200914075;08/28/2020 12:00:00 AM;08/28/2020 12:00:00 AM;200;9;Van Nuys   ;998;1;510;VEHICLE - STOLEN                                        ;;0;;;707;GARAGE/CARPORT                              ;;;IC;Invest Cont ;510
200915358;10/01/2020 12:00:00 AM;09/30/2020 12:00:00 AM;2150;9;Van Nuys   ;966;2;890;FAILURE TO YIELD                                        ;1501                                   ;0;X;X;101;STREET                                      ;;;AA;Adult Arrest;890
200905230;01/29/2020 12:00:00 AM;01/28/2020 12:00:00 AM;1950;9;Van Nuys   ;984;1;510;VEHICLE - STOLEN                                        ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;510
200913628;08/17/2020 12:00:00 AM;08/17/2020 12:00:00 AM;530;9;Van Nuys   ;994;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
200911607;06/26/2020 12:00:00 AM;06/25/2020 12:00:00 AM;700;9;Van Nuys   ;931;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;;0;;;108;PARKING LOT                                 ;;;IC;Invest Cont ;420
200918831;12/25/2020 12:00:00 AM;12/24/2020 12:00:00 AM;839;9;Van Nuys   ;901;2;901;VIOLATION OF RESTRAINING ORDER                          ;2038                                   ;36;F;H;501;SINGLE FAMILY DWELLING                      ;;;AO;Adult Other ;901
200916841;11/04/2020 12:00:00 AM;10/21/2020 12:00:00 AM;1900;9;Van Nuys   ;985;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     ;0344                                   ;65;M;W;108;PARKING LOT                                 ;;;IC;Invest Cont ;331
200917718;11/26/2020 12:00:00 AM;11/18/2020 12:00:00 AM;1325;9;Van Nuys   ;933;1;440;THEFT PLAIN - PETTY ($950 & UNDER)                      ;0344                                   ;45;M;W;707;GARAGE/CARPORT                              ;;;AO;Adult Other ;440
200910138;05/26/2020 12:00:00 AM;05/26/2020 12:00:00 AM;30;9;Van Nuys   ;911;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          ;0334 0411 1822 0416 0446 2033          ;24;M;B;102;SIDEWALK                                    ;200;KNIFE WITH BLADE 6INCHES OR LESS              ;IC;Invest Cont ;230
200906983;03/06/2020 12:00:00 AM;03/03/2020 12:00:00 AM;1;9;Van Nuys   ;952;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         ;0344                                   ;30;F;H;108;PARKING LOT                                 ;;;IC;Invest Cont ;420
200912327;07/14/2020 12:00:00 AM;06/30/2020 12:00:00 AM;700;9;Van Nuys   ;905;1;510;VEHICLE - STOLEN                                        ;;0;;;101;STREET                                      ;;;IC;Invest Cont ;510
